time,IOT_Sensor_Reading,Error_Present,Sensor_2,Sensor_Value
01-09-2017 19:00,-0.261875679,0.424783161,-1.181482156,-0.27145669
01-09-2017 20:00,-0.345199758,0.424783161,-1.181482156,-0.257883855
01-09-2017 21:00,-0.538035485,0.424783161,-1.181482156,-0.298602359
01-09-2017 22:00,-0.376942265,0.424783161,-1.181482156,-0.358322831
01-09-2017 23:00,-0.294411748,0.424783161,-1.181482156,-0.298602359
02-09-2017 00:00,-0.397574894,0.637174742,-2.822429595,-0.268742123
02-09-2017 01:00,-0.704683644,0.637174742,-2.822429595,-0.257883855
02-09-2017 02:00,-0.875299617,0.637174742,-2.822429595,-0.27960039
02-09-2017 03:00,-0.972907824,0.637174742,-2.822429595,-0.404470468
02-09-2017 04:00,-0.906248561,0.637174742,-2.822429595,-0.58634645
02-09-2017 05:00,-0.991159766,0.637174742,-2.822429595,-0.415328735
02-09-2017 06:00,-0.991953328,0.637174742,-2.822429595,-0.686785425
02-09-2017 07:00,-0.904661435,0.637174742,-2.822429595,-0.597204718
02-09-2017 08:00,-1.0371864,0.637174742,-2.822429595,-0.580917316
02-09-2017 09:00,-1.115749104,0.637174742,-2.822429595,-0.684070858
02-09-2017 10:00,-1.02210871,0.637174742,-2.822429595,-0.730218495
02-09-2017 11:00,-1.049883403,0.637174742,-2.822429595,-0.54291338
02-09-2017 12:00,-1.045915589,0.637174742,-2.822429595,-0.3936122
02-09-2017 13:00,-1.079245221,0.637174742,-2.822429595,-0.485907475
02-09-2017 14:00,-0.95068807,0.637174742,-2.822429595,-0.523911411
02-09-2017 15:00,-1.12051048,0.637174742,-2.822429595,-0.876805108
02-09-2017 16:00,-1.134794608,0.637174742,-2.822429595,-0.792653534
02-09-2017 17:00,-1.161775738,0.637174742,-2.822429595,-1.145547231
02-09-2017 18:00,-1.141143109,0.637174742,-2.822429595,-1.433291322
02-09-2017 19:00,-1.166537114,0.637174742,-2.822429595,-1.419718488
02-09-2017 20:00,-1.162569301,0.637174742,-2.822429595,-1.433291322
02-09-2017 21:00,-1.00147608,0.637174742,-2.822429595,-1.392572819
02-09-2017 22:00,-0.948307382,0.637174742,-2.822429595,-1.332852347
02-09-2017 23:00,-0.886409494,0.637174742,-2.822429595,-1.392572819
03-09-2017 00:00,-0.635643693,-0.707971936,0.393827385,-1.411574787
